station,reseau,trafic,arrondissement,nb_corr,lat,lon
CONCORDE,Métro,2617251,8.0,3,48.8662221,2.324434
MAIRIE DE SAINT-OUEN,Métro,2373142,,2,,
PORTE DE PANTIN,Métro,2336476,19.0,1,48.8886574,2.3926771
OURCQ,Métro,2064168,19.0,1,48.8870772,2.38664
PORTE DES LILAS,Métro,2021179,20.0,2,48.8769658,2.4064184
RUE DE LA POMPE,Métro,1700312,16.0,1,48.8640672,2.278149
LA DEFENSE,Métro,8616589,,1,48.8852971,2.3271458
BELLEVILLE,Métro,5680933,10.0,2,48.8717265,2.385085
REUILLY-DIDEROT,Métro,3860750,12.0,2,48.8473574,2.3867982
PONT DE SEVRES,Métro,2651763,,1,48.8737795,2.3149367
BIR-HAKEIM,Métro,2644407,15.0,1,48.8538898,2.2893811
SAINT-DENIS-UNIVERSITE,Métro,2626602,,1,,
COLONEL FABIEN,Métro,2378863,10.0,1,48.8774137,2.3710017
CADET,Métro,1240692,9.0,1,48.8760078,2.3444767
PICPUS,Métro,595063,12.0,1,48.8451759,2.4005236
RUEIL-MALMAISON,RER,3408182,,1,,
SAINT-MAUR-CRETEIL,RER,2151064,,1,,
SUCY-BONNEUIL,RER,1546784,,1,,
BOULOGNE-PONT DE SAINT-CLOUD,Métro,1588193,,1,48.8460965,2.3561243
PORTE D'ITALIE,Métro,1458709,13.0,1,48.819054,2.3594056
MONCEAU,Métro,902347,17.0,1,48.8803157,2.3086415
CITE,Métro,741182,4.0,1,48.8556461,2.3474401
CHATELET-LES HALLES-RER,RER,18301464,1.0,2,,
VAL DE FONTENAY,RER,7985198,,1,,
JOINVILLE-LE-PONT,RER,2314407,,1,48.8177065,2.465163
PORT ROYAL,RER,1824145,5.0,1,48.8400137,2.3370805
FONTENAY-SOUS-BOIS,RER,1586673,,1,48.8406946,2.4617051
LOGNES,RER,944270,,1,48.8214366,2.6252952
TRINITE-D'ESTIENNE D'ORVES,Métro,757661,9.0,1,48.8763067,2.3326426
JACQUES BONSERGENT,Métro,1216884,10.0,1,48.8711191,2.3607546
JASMIN,Métro,1017366,16.0,1,48.8525598,2.2681802
BRY-SUR-MARNE,RER,1458444,,1,48.8043316,2.5299723
BIBLIOTHEQUE,Métro,10002396,13.0,1,48.8299133,2.3767315
NATION,Métro,4860619,12.0,4,48.8476792,2.3955176
CRETEIL-PREFECTURE,Métro,2778189,,1,,
VILLIERS,Métro,2244643,17.0,2,48.8811181,2.3149118
ALESIA,Métro,2204961,14.0,1,48.8280318,2.3270406
BOULOGNE-JEAN JAURES,Métro,2016202,,1,,
SAINT-PLACIDE,Métro,1673383,6.0,1,48.847098,2.3270206
CONVENTION,Métro,2674415,15.0,1,48.8372872,2.2966539
RICHELIEU-DROUOT,Métro,2313492,9.0,2,48.8717313,2.3385319
